Sale type,SKU,Name,Spring - Sale Price DR,Spring - Sale Price TW,Spring - Sale Price OR
Overstock,NOT-109FS/A-220-C/P,Vado Notion Wall Mounted Single Lever Basin Mixer with Extended Spout 220mm,314.99,314.99,
Overstock,R1SV-CHR,-,399.99,399.99,
,dr-1700p-reinforced-bath-pack-1,(DC) Drench P Shaped Reinforced Shower Bath & 720mm Curved Screen with Front Panel - Left Hand - 1700mm,479.99,479.99,
,dr-1700p-rh-reinforced-bath-pk-1,-,479.99,479.99,
Overstock,TPM1CM/,Rangemaster Parma Kitchen Mixer Tap - Chrome,,189.99,
Overstock,TVC00045454061,Villeroy & Boch Universal Ceiling Mounted Square Shower Arm - Chrome,-0.01,54.99,
Overstock,PAR3641CG/,Rangemaster Paragon 2 Bowl Croma Grey Granite Composite Undermount Kitchen Sink & Waste Kit - 824 x 481mm,,264.99,
Overstock,BLANCO526146,Blanco Mida-S Single Lever Mono Pull Out Kitchen Mixer Tap - Black,,259.99,
,hb-primrose-pivot-760-side-900,Harbour Primrose Matt Black 6mm Pivot Shower Door 760m & Side Panel 900mm (1850mm high),364.99,364.99,
Overstock,KUBE50/,Rangemaster Kube 1 Bowl Brushed Stainless Steel Inset/Undermount Sink & Waste Kit - 540 x 440mm,,344.99,
Overstock,TCOSL1CM/,Rangemaster Conical Single Lever Mono Kitchen Mixer Tap - Polished Chrome,,224.99,
Overstock,virtue-800-vu-MW-GR-BBh-BBfr,"Harbour Virtue 800mm Wall Hung Vanity Unit with LED Illumination, Brushed Brass Frame Shelf & Grey Basin - Matt White & Brushed",709.99,709.99,
,hb-primrose-pivot-760-side-800,Harbour Primrose Matt Black 6mm Pivot Shower Door 760m & Side Panel 800mm (1850mm high),354.99,354.99,
Overstock,115.788.21.2,Geberit Metal Sigma50 Dual Flush Plate - Gloss Chrome,-0.01,344.99,
,DYLAN-600-UNIT-BASIN-ANTHRACITE,Dylan 600mm Floorstanding Vanity Unit & Basin - Anthracite,229.99,229.99,
Overstock,virtue-800-vu-MW-WH-BBh-BBfr,"Harbour Virtue 800mm Wall Hung Vanity Unit with LED Illumination, Brushed Brass Frame Shelf & White Basin - Matt White & Brushed",669.99,669.99,
Overstock,Harbour-Virtue-800-VU-Mw-Fr-Gr,"Harbour Virtue 800mm Wall Hung Vanity Unit with LED Illumination, Black Framed Shelf & Grey Basin - Matt White & Matt Black Hand",659.99,659.99,
,DYLAN-500-UNIT-BASIN-ANTHRACITE,Dylan 500mm Floorstanding Vanity Unit & Basin - Anthracite,219.99,219.99,
Overstock,SPA-184-C/P,Vado Spa 600mm Towel Rail,-0.01,64.99,
Overstock,Harbour-Virtue-800-VU-Mw-Fr-Wh,"Harbour Virtue 800mm Wall Hung Vanity Unit with LED Illumination, Black Framed Shelf & White Basin - Matt White & Matt Black Han",629.99,629.99,
Overstock,TPR1CM/,(DC) Rangemaster Pro Spray Pull Out Spray Kitchen Mixer Tap - Chrome,,489.99,
Overstock,virtue-600-vu-MW-GR-BBh-BBfr,"Harbour Virtue 600mm Wall Hung Vanity Unit with LED Illumination, Brushed Brass Frame Shelf & Grey Basin - Matt White & Brushed",609.99,609.99,
Overstock,virtue-600-vu-RO-GR-BBh-BBfr,"Harbour Virtue 600mm Wall Hung Vanity Unit with LED Illumination, Brushed Brass Frame Shelf & Grey Basin - Rustic Oak & Brushed",599.99,599.99,
Overstock,virtue-600-vu-MW-WH-BBh-BBfr,"Harbour Virtue 600mm Wall Hung Vanity Unit with LED Illumination, Brushed Brass Frame Shelf & White Basin - Matt White & Brushed",599.99,599.99,
Overstock,150.712.21.6,Geberit Chrome Overflow Bath Filler & Pop-up Waste,-0.01,189.99,
Overstock,PRDBC1000,(DC) Crosswater Design+ Matt Black 6mm Easy Clean Hinged Shower Door - 1000mm,824.99,824.99,
Overstock,LISHVODIV-KI024-LISK-KIL120,Flova Liberty Concealed Manual Mixer Valve with Ceiling Mounted Rainshower & Handset Kit - Chrome,569.99,569.99,
Overstock,virtue-600-vu-RO-WH-BBh-BBfr,"Harbour Virtue 600mm Wall Hung Vanity Unit with LED Illumination, Brushed Brass Frame Shelf & White Basin - Rustic Oak & Brushed",569.99,569.99,
,dr-brooke-cnc-shower-kit-150ca,Brooke Concealed Shower Valve & Fixed Shower Head Package - 150mm Ceiling Shower Arm,189.99,189.99,
,dr-brooke-cnc-shower-kit-300ca,Brooke Concealed Shower Valve & Fixed Shower Head Package - 300mm Ceiling Shower Arm,189.99,189.99,
,VELEDG03,Vellamo Edge 1 Bowl Inset/Undermount Brushed Stainless Steel Kitchen Sink & Waste Kit - 530 x 430mm,,189.99,
,VELEDG02,Vellamo Edge 1 Bowl Inset/Undermount Brushed Stainless Steel Kitchen Sink & Waste - 430 x 430mm,,189.99,
Overstock,HOX.054CP,Britton Bathrooms Hoxton Toilet Brush Holder - Chrome,56.99,56.99,
Overstock,Harbour-Virtue-600-VU-Mw-Fr-Gr,"Harbour Virtue 600mm Wall Hung Vanity Unit with LED Illumination, Black Framed Shelf & Grey Basin - Matt White & Matt Black Hand",559.99,559.99,
,harbour-prim-s-shower-1700d-1000,Harbour Primrose Easy Clean 6mm Double Sliding 1700mm Shower Door & 1000mm Side Panel,549.99,549.99,
Overstock,Harbour-Virtue-600-VU-Ro-Fr-GR,"Harbour Virtue 600mm Wall Hung Vanity Unit with LED Illumination, Black Framed Shelf & Grey Basin - Rustic Oak & Matt Black Hand",549.99,549.99,
Overstock,Harbour-Virtue-600-VU-Mw-Fr-Wh,"Harbour Virtue 600mm Wall Hung Vanity Unit with LED Illumination, Black Framed Shelf & White Basin - Matt White & Matt Black Han",549.99,549.99,
Overstock,OXBDBZC0900R,Crosswater Optix 10 Hinged Bath Screen 90° - Brushed Bronze - Right Hand,539.99,539.99,
Overstock,virtue-800-vu-MW-GR-BBh,Harbour Virtue 800mm Wall Hung Vanity Unit with LED Illumination & Grey Basin - Matt White & Brushed Brass Handle,539.99,539.99,
Overstock,Harbour-Virtue-600-VU-Ro-Fr-WH,"Harbour Virtue 600mm Wall Hung Vanity Unit with LED Illumination, Black Framed Shelf & White Basin - Rustic Oak & Matt Black Han",529.99,529.99,
,harbour-prim-s-shower-1700d-900,Harbour Primrose Easy Clean 6mm Double Sliding 1700mm Shower Door & 900mm Side Panel,509.99,509.99,
,Dr-emma-btw-toilet-sclose-seat,Emma Back to Wall Toilet & Soft Close Seat - 520mm Projection,-0.01,84.99,
,KT43,Vellamo Revolve Single Lever Mono Kitchen Mixer Tap - Matt Black,,84.99,
Overstock,vellamo-asp-1000-2dr-gre-pb-c-53,Vellamo Aspire 1000mm 2 Door Combination Polymarble Basin & Toilet (520mm Projection) Unit & Concealed Cistern - Gloss Grey,499.99,499.99,
Overstock,Harbour-Virtue-800-Wall-VU-Mw-Gr,Harbour Virtue 800mm Wall Hung Vanity Unit with LED Illumination & Grey Basin - Matt White & Matt Black Handle,499.99,499.99,
Overstock,virtue-800-vu-MW-WH-BBh,Harbour Virtue 800mm Wall Hung Vanity Unit with LED Illumination & White Basin - Matt White & Brushed Brass Handle,499.99,499.99,
Overstock,PHO-185-C/P,Vado Photon Clear Glass Shelf,99.99,99.99,
,harbour-prim-s-shower-1700d-760,Harbour Primrose Easy Clean 6mm Double Sliding 1700mm Shower Door & 760mm Side Panel,494.99,494.99,
Overstock,vellamo-asp-1000-2dr-grey-pb-c,Vellamo Aspire 1000mm 2 Door Combination Polymarble Basin & Toilet Unit & Concealed Cistern - Gloss Grey,329.99,329.99,
,harbour-prim-s-shower-1700d-700,Harbour Primrose Easy Clean 6mm Double Sliding 1700mm Shower Door & 700mm Side Panel,489.99,489.99,
,DYLAN-600-UNIT-BASIN-BLUE,Dylan 600mm Floorstanding Vanity Unit & Basin - Blue,244.99,244.99,
,DYLAN-600-UNIT-BASIN-GREEN,Dylan 600mm Floorstanding Vanity Unit & Basin - Green,244.99,244.99,
Overstock,LISHVODIV-KI024-LISFSS-KIL120,Flova Liberty Concealed Manual Mixer Valve with Overhead Shower & Slide Rail Kit - Chrome,729.99,729.99,
Overstock,virtue-600-vu-MW-GR-BBh,Harbour Virtue 600mm Wall Hung Vanity Unit with LED Illumination & Grey Basin - Matt White & Brushed Brass Handle,469.99,469.99,
Overstock,Harbour-Virtue-800-Wall-VU-Mw-Wh,Harbour Virtue 800mm Wall Hung Vanity Unit with LED Illumination & White Basin - Matt White & Matt Black Handle,469.99,469.99,
Overstock,vel-combo-lh-1100-cis-white,Vellamo Structure 1100mm Combination Basin & Toilet Unit Gloss White - Left Hand with Cistern,309.99,309.99,
Overstock,vellamo-asp-1000-2dr-grey-pb-53,Vellamo Aspire 1000mm 2 Door Combination Polymarble Basin & Toilet (520mm Projection) Unit - Gloss Grey,459.99,459.99,
