Sale Type,SKU,Name,Summer - Sale Price DR,Summer - Sale Price TW,Summer - Sale Price OR
,CO713DC,Crosswater Cucina Cook Industrial Style Single Lever Mono Kitchen Mixer Tap - Chrome,,189.99,
,CO713DF,Crosswater Cucina Cook Industrial Style Single Lever Mono Kitchen Mixer Tap - Brushed Brass,,234.99,
,CO713DM,Crosswater Cucina Cook Industrial Style Single Lever Mono Kitchen Mixer Tap - Matt Black,,234.99,
,CO721DC,Crosswater Cucina Cook Pull Out Single Lever Kitchen Mixer Tap - Chrome,,184.99,
,CO721DM,Crosswater Cucina Cook Pull Out Single Lever Kitchen Mixer Tap - Matt Black,,209.99,
,CO721DF,Crosswater Cucina Cook Pull Out Single Lever Kitchen Mixer Tap - Brushed Brass,,209.99,
Hero - Big Discount,dr-ava-500-fs-vu-anthr,Ava 500mm Floorstanding Vanity Unit & Basin - Anthracite,339.99,339.99,
,dr-ava-500-fs-vu-blue,Ava 500mm Floorstanding Vanity Unit & Basin - Blue,379.99,379.99,
,dr-ava-500-fs-vu-green,Ava 500mm Floorstanding Vanity Unit & Basin - Green,379.99,379.99,
,dr-ava-500-fs-vu-white,Ava 500mm Floorstanding Vanity Unit & Basin - Gloss White,379.99,379.99,
,dr-ava-500-wm-vu-anthr,Ava 500mm Wall Hung Vanity Unit & Basin - Anthracite,359.99,359.99,
,dr-ava-500-wm-vu-blue,Ava 500mm Wall Hung Vanity Unit & Basin - Blue,359.99,359.99,
,dr-ava-500-wm-vu-green,Ava 500mm Wall Hung Vanity Unit & Basin - Green,359.99,359.99,
,dr-ava-500-wm-vu-white,Ava 500mm Wall Hung Vanity Unit & Basin - Gloss White,359.99,359.99,
"Hero - Good Seller, Hero - Big Discount",dr-ava-600-fs-vu-anthr,Ava 600mm Floorstanding Vanity Unit & Basin - Anthracite,399.99,399.99,
"Hero - Good Seller, Hero - Big Discount",dr-ava-600-fs-vu-blue,Ava 600mm Floorstanding Vanity Unit & Basin - Blue,399.99,399.99,
"Hero - Good Seller, Hero - Big Discount",dr-ava-600-fs-vu-green,Ava 600mm Floorstanding Vanity Unit & Basin - Green,399.99,399.99,
"Hero - Good Seller, Hero - Big Discount",dr-ava-600-fs-vu-white,Ava 600mm Floorstanding Vanity Unit & Basin - Gloss White,399.99,399.99,
Hero - Good Seller,dr-ava-600-wm-vu-anthr,Ava 600mm Wall Hung Vanity Unit & Basin - Anthracite,369.99,369.99,
Hero - Good Seller,dr-ava-600-wm-vu-blue,Ava 600mm Wall Hung Vanity Unit & Basin - Blue,379.99,379.99,
Hero - Good Seller,dr-ava-600-wm-vu-green,Ava 600mm Wall Hung Vanity Unit & Basin - Green,379.99,379.99,
Hero - Good Seller,dr-ava-600-wm-vu-white,Ava 600mm Wall Hung Vanity Unit & Basin - Gloss White,379.99,379.99,
,dr-ava-800-fs-vu-anthr,Ava 800mm Floorstanding Vanity Unit & Basin - Anthracite,469.99,469.99,
,dr-ava-800-fs-vu-blue,Ava 800mm Floorstanding Vanity Unit & Basin - Blue,469.99,469.99,
,dr-ava-800-fs-vu-green,Ava 800mm Floorstanding Vanity Unit & Basin - Green,469.99,469.99,
,dr-ava-800-fs-vu-white,Ava 800mm Floorstanding Vanity Unit & Basin - Gloss White,469.99,469.99,
,dr-ava-800-wm-vu-anthr,Ava 800mm Wall Hung Vanity Unit & Basin - Anthracite,429.99,429.99,
,dr-ava-800-wm-vu-blue,Ava 800mm Wall Hung Vanity Unit & Basin - Blue,429.99,429.99,
Hero - Big Discount,dr-ava-800-wm-vu-green,Ava 800mm Wall Hung Vanity Unit & Basin - Green,399.99,399.99,
,dr-ava-800-wm-vu-white,Ava 800mm Wall Hung Vanity Unit & Basin - Gloss White,429.99,429.99,
,NU-003,Drench Core Mono Basin Mixer Tap - Brushed Brass,119.99,94.99,
Hero - Good Seller,NU-001,Drench Core Mono Basin Mixer Tap - Chrome,74.99,74.99,
Hero - Good Seller,VELSWIFT11,Vellamo Swift Chrome Basin Mixer Tap & Waste,59.99,56.99,
Overstock,VELREV12,Vellamo Reve Wall Mounted Bath Spout - Chrome,74.99,74.99,
Overstock,3709,(DC) Imperial sponge basket (Elliot Sponge Basket - Chrome),44.99,44.99,
Overstock,66520,(DC) Tre Mercati Edge Wall Mounted Glass Holder (Drench Vincent),32.99,32.99,
Overstock,TRETANTFEET,Brenton Saturnia Radiator Feet - Anthracite (Etamin),64.99,64.99,64.99
Overstock,OFF218,Premier Athena 600mm Mirror Cabinet with Offset Door - Driftwood (Drench Emily),229.99,229.99,
Overstock,A48CHR,(DC) Burlington Surface Mounted Soap Dispenser,94.99,94.99,
Overstock,H203,Drench Matt Black Angled D Bar Furniture Handle - 160mm Centres,7.99,7.99,
Overstock,PEX-229FA-C/P,(DC) Vado Chrome Plated Heavy Pattern Angle Valve 1/2 X 1/2 Supplied With Hot And Cold Indices,,6.99,
Hero - Big Discount,MODPOTFIL01,Harbour Stature Wall Mounted Pot Filler Kitchen Tap - Chrome,,64.99,
Overstock,H102,Drench Chrome Profile Bar Furniture Handle - 224mm Centres,8.99,8.99,
Overstock,H005,Drench Satin Nickel Bow Furniture Handle - 128mm Centres,7.99,7.99,
Hero - Big Discount,MOD642,(DC) Premier Athena 500mm WC Unit - Hacienda Black (Drench Emily),89.99,89.99,
Overstock,H186,Drench Satin Chrome Rear Fixed Furniture Handle - 30mm Centres,7.99,7.99,
Overstock,704A,(DC) Tre Mercati 1.5 Basket Strainer Waste Without Overflow - Chrome,,7.99,
Overstock,SX323,Premier Square Deck Mounting Legs (Vellamo),32.99,32.99,
Overstock,E470,Butler & Rose Black Ceramic Handle WC Lever - Chrome,29.99,29.99,
Overstock,H212,Drench Matt Black Square Drop Furniture Handle - 32mm Centres,8.99,8.99,
Hero - Big Discount,ID50WC-GRY,Aspire Back to Wall WC Toilet Unit - Gloss Grey (Idon),59.99,59.99,
Overstock,WLS-LEAK-SEALER,Leak Sealer - 1 Litre Bottle,7.49,7.49,9.99
Overstock,H030,Drench Brushed Brass Knurled T Bar Furniture Handle - 96mm Centres,9.99,9.99,
Overstock,H031,Drench Brushed Brass Chrome Knurled T Bar Furniture Handle - 160mm Centres,7.99,7.99,
Overstock,76/98/85009,Butler & Rose Wall Mounted Unions - Chrome,59.99,59.99,
Overstock,76/98/85009NK,Butler & Rose Wall Mounted Unions - Nickel,64.99,64.99,
"Overstock, Hero - Big Discount",WOODEND007,Harbour Dark Oak 800mm Vinyl Wrap Bath End Panel,29.99,29.99,
"Overstock, Hero - Big Discount",SH005,Vellamo Slimline Round Thin Shower Head 300mm,29.99,29.99,
Overstock,ARTSHELFOAK,(DC) Crosswater Artist FSC Solid Oak Towel Warmer Shelf,99.99,99.99,99.99
Overstock,SH/182/C,Sagittarius Pr Short Elbows to suit Exposed Shower Valves,17.99,17.99,
Overstock,VLV-LGEAS,Reina Loge Straight Radiator Valve - Anthracite,26.99,26.99,26.99
Overstock,MINTBRACKGM,Harbour i10 T Bracket - Gunmetal,16.99,16.99,
Overstock,H184,Drench Satin Nickel Curved D Bar Furniture Handle - 192mm Centres,6.49,6.49,
Hero - Big Discount,TIS3047,Drench Noir LED Illuminated Round Black Framed Mirror with Demister Pad & Colour Change LEDs - 600mm,179.99,179.99,
Overstock,HARR-END001-SPA,Butler & Rose Wooden End Bath Panel - 700mm - Spa Grey (Harrogate),79.99,79.99,
Overstock,LISHVO/DIV,DISCONTINUED - Flova Liberty 2 Outlet Concealed Manual Mixer Valve with Easyfit SmartBOX - Chrome,199.99,199.99,
Overstock,TIS3101,LED Single Door Bathroom Mirror Cabinet with Shaver Socket - 700 x 500mm (Harbour Icon),289.99,289.99,
Overstock,1941B,Miller Matt Black Tall Mono Basin Mixer with Free Flow Waste,329.99,329.99,
Overstock,UB0370L,(DC) Crosswater Union Wall Mounted Bath Spout - Brushed Nickel,194.99,194.99,
Overstock,TFVIBBFBK,The Tap Factory Vibrance Vanto Black Deck Mounted Bath Filler,179.99,179.99,
Overstock,CON-MAN-ANG-SC,(DC) DQ Heating Contemporary Luxury Manual Radiator Valve - Angled - Satin Chrome,,,89.99
Overstock,MEG600W-C,(DC) DQ Heating 600w MEG Vertical Thermostatic Heating Element - Chrome,124.99,124.99,124.99
Overstock,VENTB15-S,Aeon Venetian Clip-on Towel Bar - Brushed - 40x380,104.99,104.99,104.99
Overstock,VLV-CRVA,Reina Crova Corner Radiator Valve - Anthracite,26.99,26.99,26.99
Overstock,VLV-MDLCS,Reina Modal TRV Thermostatic Straight Radiator Valve - Chrome,30.99,30.99,30.99
Overstock,GEO-143-3/4-C/P,(DC) Vado Geo Wall Mounted Concealed Stop Valve 3/4,94.99,94.99,
Overstock,UB025U,(DC) Crosswater Union Wall Mounted Toilet Brush & Holder - Brushed Brass,309.99,309.99,
Overstock,WA-484-G,Sagittarius Pr Floor Mounted Standpipes Gold,319.99,319.99,
Overstock,WBS/409/C,Sagittarius Long Basin Waste Shroud (For Unslotted) (WA/409/C),21.99,21.99,
Overstock,SEA/798/C,Sagittarius Wall Mounted Shower Stool (150kg) (AC/223/C),194.99,194.99,
Overstock,WH-WCUNIT-AGREY,Muro 500 WC Unit - Avola Grey (Harbour Alchemy),114.99,114.99,
Overstock,H104,Drench Chrome Angled D Bar Furniture Handle - 224mm Centres,7.99,7.99,
Overstock,FMA460,-,184.99,184.99,
Overstock,FL90LEDM,(DC) Imex Flite 900 x 500mm LED Illuminated Mirror,169.99,169.99,
Overstock,MONO-1200x600,-,279.99,279.99,
Overstock,AX-VIC-136/CD-CP,(DC) Vado Victoriana Deck Mounted Bath Pillar Taps,119.99,119.99,
Overstock,ARC66-NKL,Arcade Nickel Black Lever,39.99,39.99,
Overstock,27439BBL,Just Taps VOS Bath/Basin Spout 250mm - Brushed Black,84.99,84.99,
Overstock,TO450DC,Crosswater Totti II 5 Hole Deck Mounted Bath Filler Tap with Shower Handset,344.99,344.99,
Overstock,OFF271,(DC) Drift Bath End Panel for 750mm Bath - (730x480/100mm),34.99,34.99,
Overstock,MPC111,(DC) Premier Athena 700mm Bath Front Panel - Driftwood (Drench Emily),34.99,34.99,
Overstock,MPD511,(DC) Emily 700mm Bath End Panel - Brown Grey Avola,49.99,49.99,
Overstock,OFF979,Erin L-Shaped Square End Bath Panel - Gloss Grey,47.99,47.99,
Overstock,TCK-022-0300,Thermogroup Vario EZ Cable Kit 3 Exc. 5259 Tstat - No thermostat,184.99,184.99,209.99
Overstock,TGETAN002,(DC) Terma Artistic Thermostatic Valve Set & Lock Shield For Cast Iron Radiators,179.99,179.99,199.99
Overstock,TFVIBRAD4-MUL,The Tap Factory Vibrance Radiator 1800H x 236W - Mulberry,289.99,289.99,354.99
Overstock,BOL1-P,Aeon Bolero Stainless Steel Vertical Designer Heated Towel Rail Radiator - Polished - 630x300,954.99,954.99,954.99
Overstock,COM10L-S,(DC) Aeon Combe Vertical Designer Heated Towel Rail Radiator - Left Hand - Brushed - 920x500,989.99,989.99,989.99
Overstock,CUB2-147/15H-W,DQ Heating Cube Double Panel Mild Steel Horizontal Designer Radiator - White - 600x1471,"1,064.99","1,064.99","1,064.99"
Overstock,Elec-Siena-50/70-P,DQ Heating Siena Electric Only Vertical Heated Towel Rail Radiator - Polished - 700x500,299.99,299.99,299.99
Overstock,ENZO-MAN-P,DQ Heating Enzo Luxury Manual Radiator Valve - Angled - Pewter,119.99,119.99,119.99
Overstock,HE300d,Aeon Dry Radiator Heating Element Kit with 1500C Thermostat - 300W - 650mm Rod,69.99,69.99,69.99
Overstock,LA108-S,Aeon Labren Stainless Steel Wall Mounted Vertical Designer Radiator - Brushed - 975x800,"1,339.99","1,339.99","1,339.99"
Overstock,SK-130-AC,DQ Heating 130mm Radiator Sleeving Kit - Antique Copper,35.99,35.99,35.99
Overstock,VENTB15-P,Aeon Venetian Clip-on Towel Bar - Polished - 40x380,129.99,129.99,129.99
Overstock,VUL1-57/13H-W,DQ Heating Vulcano Single Panel Mild Steel Horizontal Designer Radiator - White - 520x571,249.99,249.99,249.99
Overstock,DRIFTER150/5H-WA,(DC) DQ Heating Drifter White Horizontal Designer Radiator - 410 x 1500mm,629.99,629.99,629.99
Overstock,DRIFTER120/5H-WA,(DC) DQ Heating Drifter White Horizontal Designer Radiator - 410 x 1200mm - *SPECIAL ORDER*,629.99,629.99,629.99
